date,symbol,asset_type,open,high,low,close,volume
2025-08-21 00:00:00,bitcoin,crypto,114252.39755195397,114252.39755195397,114252.39755195397,114252.39755195397,0
2025-08-22 00:00:00,bitcoin,crypto,112414.39987336512,112414.39987336512,112414.39987336512,112414.39987336512,0
2025-08-23 00:00:00,bitcoin,crypto,116834.24948202295,116834.24948202295,116834.24948202295,116834.24948202295,0
2025-08-24 00:00:00,bitcoin,crypto,115359.98346714744,115359.98346714744,115359.98346714744,115359.98346714744,0
2025-08-25 00:00:00,bitcoin,crypto,113399.54847314971,113399.54847314971,113399.54847314971,113399.54847314971,0
2025-08-26 00:00:00,bitcoin,crypto,110185.35443900425,110185.35443900425,110185.35443900425,110185.35443900425,0
2025-08-27 00:00:00,bitcoin,crypto,111842.70999260596,111842.70999260596,111842.70999260596,111842.70999260596,0
2025-08-28 00:00:00,bitcoin,crypto,111216.08479629169,111216.08479629169,111216.08479629169,111216.08479629169,0
2025-08-29 00:00:00,bitcoin,crypto,112525.59740669793,112525.59740669793,112525.59740669793,112525.59740669793,0
2025-08-30 00:00:00,bitcoin,crypto,108480.30666639366,108480.30666639366,108480.30666639366,108480.30666639366,0
2025-08-31 00:00:00,bitcoin,crypto,108781.95727925687,108781.95727925687,108781.95727925687,108781.95727925687,0
2025-09-01 00:00:00,bitcoin,crypto,108253.36092385623,108253.36092385623,108253.36092385623,108253.36092385623,0
2025-09-02 00:00:00,bitcoin,crypto,109162.68557992298,109162.68557992298,109162.68557992298,109162.68557992298,0
2025-09-03 00:00:00,bitcoin,crypto,111190.18209845416,111190.18209845416,111190.18209845416,111190.18209845416,0
2025-09-04 00:00:00,bitcoin,crypto,111711.51977725117,111711.51977725117,111711.51977725117,111711.51977725117,0
2025-09-05 00:00:00,bitcoin,crypto,110724.736377486,110724.736377486,110724.736377486,110724.736377486,0
2025-09-06 00:00:00,bitcoin,crypto,110662.18112628513,110662.18112628513,110662.18112628513,110662.18112628513,0
2025-09-07 00:00:00,bitcoin,crypto,110209.1888247784,110209.1888247784,110209.1888247784,110209.1888247784,0
2025-09-08 00:00:00,bitcoin,crypto,111131.9923868407,111131.9923868407,111131.9923868407,111131.9923868407,0
2025-09-09 00:00:00,bitcoin,crypto,112025.12878118771,112025.12878118771,112025.12878118771,112025.12878118771,0
2025-09-10 00:00:00,bitcoin,crypto,111547.43956434788,111547.43956434788,111547.43956434788,111547.43956434788,0
2025-09-11 00:00:00,bitcoin,crypto,113975.32489468766,113975.32489468766,113975.32489468766,113975.32489468766,0
2025-09-12 00:00:00,bitcoin,crypto,115503.16663193036,115503.16663193036,115503.16663193036,115503.16663193036,0
2025-09-13 00:00:00,bitcoin,crypto,116160.14344594491,116160.14344594491,116160.14344594491,116160.14344594491,0
2025-09-14 00:00:00,bitcoin,crypto,115970.58488443034,115970.58488443034,115970.58488443034,115970.58488443034,0
2025-09-15 00:00:00,bitcoin,crypto,115373.55555886829,115373.55555886829,115373.55555886829,115373.55555886829,0
2025-09-16 00:00:00,bitcoin,crypto,115397.25272727509,115397.25272727509,115397.25272727509,115397.25272727509,0
2025-09-17 00:00:00,bitcoin,crypto,116762.8496864193,116762.8496864193,116762.8496864193,116762.8496864193,0
2025-09-18 00:00:00,bitcoin,crypto,116455.94648225319,116455.94648225319,116455.94648225319,116455.94648225319,0
2025-09-19 00:00:00,bitcoin,crypto,117145.49508952006,117145.49508952006,117145.49508952006,117145.49508952006,0
2025-09-20 00:00:00,bitcoin,crypto,115655.81046441344,115655.81046441344,115655.81046441344,115655.81046441344,0
2025-09-21 00:00:00,bitcoin,crypto,115715.51536781774,115715.51536781774,115715.51536781774,115715.51536781774,0
2025-09-22 00:00:00,bitcoin,crypto,115304.47999407038,115304.47999407038,115304.47999407038,115304.47999407038,0
2025-09-23 00:00:00,bitcoin,crypto,112696.74101711863,112696.74101711863,112696.74101711863,112696.74101711863,0
2025-09-24 00:00:00,bitcoin,crypto,112022.16587861195,112022.16587861195,112022.16587861195,112022.16587861195,0
2025-09-25 00:00:00,bitcoin,crypto,113320.56908541008,113320.56908541008,113320.56908541008,113320.56908541008,0
2025-09-26 00:00:00,bitcoin,crypto,108963.53013595635,108963.53013595635,108963.53013595635,108963.53013595635,0
2025-09-27 00:00:00,bitcoin,crypto,109710.20874667744,109710.20874667744,109710.20874667744,109710.20874667744,0
