date,symbol,asset_type,open,high,low,close,volume
2025-08-02 00:00:00,ethereum,crypto,3483.1789551579504,3483.1789551579504,3483.1789551579504,3483.1789551579504,0
2025-08-03 00:00:00,ethereum,crypto,3397.4855484143177,3397.4855484143177,3397.4855484143177,3397.4855484143177,0
2025-08-04 00:00:00,ethereum,crypto,3497.573127822404,3497.573127822404,3497.573127822404,3497.573127822404,0
2025-08-05 00:00:00,ethereum,crypto,3715.7090148550706,3715.7090148550706,3715.7090148550706,3715.7090148550706,0
2025-08-06 00:00:00,ethereum,crypto,3612.442432236669,3612.442432236669,3612.442432236669,3612.442432236669,0
2025-08-07 00:00:00,ethereum,crypto,3684.0459195726726,3684.0459195726726,3684.0459195726726,3684.0459195726726,0
2025-08-08 00:00:00,ethereum,crypto,3911.2609462690816,3911.2609462690816,3911.2609462690816,3911.2609462690816,0
2025-08-09 00:00:00,ethereum,crypto,4012.97697001236,4012.97697001236,4012.97697001236,4012.97697001236,0
2025-08-10 00:00:00,ethereum,crypto,4265.563258333516,4265.563258333516,4265.563258333516,4265.563258333516,0
2025-08-11 00:00:00,ethereum,crypto,4253.591618951185,4253.591618951185,4253.591618951185,4253.591618951185,0
2025-08-12 00:00:00,ethereum,crypto,4228.824213261163,4228.824213261163,4228.824213261163,4228.824213261163,0
2025-08-13 00:00:00,ethereum,crypto,4606.809427709522,4606.809427709522,4606.809427709522,4606.809427709522,0
2025-08-14 00:00:00,ethereum,crypto,4763.652535322159,4763.652535322159,4763.652535322159,4763.652535322159,0
2025-08-15 00:00:00,ethereum,crypto,4554.291501538621,4554.291501538621,4554.291501538621,4554.291501538621,0
2025-08-16 00:00:00,ethereum,crypto,4430.532465017841,4430.532465017841,4430.532465017841,4430.532465017841,0
2025-08-17 00:00:00,ethereum,crypto,4426.826913311333,4426.826913311333,4426.826913311333,4426.826913311333,0
2025-08-18 00:00:00,ethereum,crypto,4487.118013759226,4487.118013759226,4487.118013759226,4487.118013759226,0
2025-08-19 00:00:00,ethereum,crypto,4317.2757573282315,4317.2757573282315,4317.2757573282315,4317.2757573282315,0
2025-08-20 00:00:00,ethereum,crypto,4074.495786100515,4074.495786100515,4074.495786100515,4074.495786100515,0
2025-08-21 00:00:00,ethereum,crypto,4330.491598768078,4330.491598768078,4330.491598768078,4330.491598768078,0
2025-08-22 00:00:00,ethereum,crypto,4224.438592580698,4224.438592580698,4224.438592580698,4224.438592580698,0
2025-08-23 00:00:00,ethereum,crypto,4829.225541798332,4829.225541798332,4829.225541798332,4829.225541798332,0
2025-08-24 00:00:00,ethereum,crypto,4773.884088598777,4773.884088598777,4773.884088598777,4773.884088598777,0
2025-08-25 00:00:00,ethereum,crypto,4778.10916071381,4778.10916071381,4778.10916071381,4778.10916071381,0
2025-08-26 00:00:00,ethereum,crypto,4381.626176071471,4381.626176071471,4381.626176071471,4381.626176071471,0
2025-08-27 00:00:00,ethereum,crypto,4602.369685333965,4602.369685333965,4602.369685333965,4602.369685333965,0
2025-08-28 00:00:00,ethereum,crypto,4500.1451479982325,4500.1451479982325,4500.1451479982325,4500.1451479982325,0
2025-08-29 00:00:00,ethereum,crypto,4507.560431032719,4507.560431032719,4507.560431032719,4507.560431032719,0
2025-08-30 00:00:00,ethereum,crypto,4364.358521430426,4364.358521430426,4364.358521430426,4364.358521430426,0
2025-08-31 00:00:00,ethereum,crypto,4373.360357620914,4373.360357620914,4373.360357620914,4373.360357620914,0
2025-09-01 00:00:00,ethereum,crypto,4388.931464519364,4388.931464519364,4388.931464519364,4388.931464519364,0
2025-09-02 00:00:00,ethereum,crypto,4303.202222745541,4303.202222745541,4303.202222745541,4303.202222745541,0
2025-09-03 00:00:00,ethereum,crypto,4325.856306225941,4325.856306225941,4325.856306225941,4325.856306225941,0
2025-09-04 00:00:00,ethereum,crypto,4449.8670977283255,4449.8670977283255,4449.8670977283255,4449.8670977283255,0
2025-09-05 00:00:00,ethereum,crypto,4298.094660544595,4298.094660544595,4298.094660544595,4298.094660544595,0
2025-09-06 00:00:00,ethereum,crypto,4306.613513100346,4306.613513100346,4306.613513100346,4306.613513100346,0
2025-09-07 00:00:00,ethereum,crypto,4273.110024157841,4273.110024157841,4273.110024157841,4273.110024157841,0
2025-09-08 00:00:00,ethereum,crypto,4304.032421076036,4304.032421076036,4304.032421076036,4304.032421076036,0
