date,symbol,asset_type,open,high,low,close,volume,daily_return,cumulative_return,drawdown
2025-12-06 00:00:00,bitcoin,crypto,89307.09154512963,89307.09154512963,89307.09154512963,89307.09154512963,0,-3.075310393483055,-17.610812419546335,-28.424636918941527
2025-12-07 00:00:00,bitcoin,crypto,89244.7620814118,89244.7620814118,89244.7620814118,89244.7620814118,0,-0.069792289323789,-17.668313719714,-28.4745910034276
2025-12-08 00:00:00,bitcoin,crypto,90162.90714007126,90162.90714007126,90162.90714007126,90162.90714007126,0,1.0287943373325392,-16.82128999343203,-27.73874164591693
2025-12-09 00:00:00,bitcoin,crypto,90618.0535204608,90618.0535204608,90618.0535204608,90618.0535204608,0,0.5048044643042093,-16.401400151968215,-27.373963587783116
2025-12-10 00:00:00,bitcoin,crypto,92723.21372069631,92723.21372069631,92723.21372069631,92723.21372069631,0,2.3231134618888927,-14.459309824947963,-25.686778359054575
2025-12-11 00:00:00,bitcoin,crypto,92005.13714957413,92005.13714957413,92005.13714957413,92005.13714957413,0,-0.7744302017887228,-15.121762764482083,-26.26228239136425
2025-12-12 00:00:00,bitcoin,crypto,92494.17691640415,92494.17691640415,92494.17691640415,92494.17691640415,0,0.5315352837689691,-14.670604985334176,-25.87034040482843
2025-12-13 00:00:00,bitcoin,crypto,90307.26028567803,90307.26028567803,90307.26028567803,90307.26028567803,0,-2.364383038623763,-16.68811872802121,-27.623049502886204
2025-12-14 00:00:00,bitcoin,crypto,90257.4292885891,90257.4292885891,90257.4292885891,90257.4292885891,0,-0.05517939192406507,-16.73408971750759,-27.662986664063695
2025-12-15 00:00:00,bitcoin,crypto,88230.77409367911,88230.77409367911,88230.77409367911,88230.77409367911,0,-2.2454164835893686,-18.603756192201406,-29.287253885245047
2025-12-16 00:00:00,bitcoin,crypto,86413.9190195637,86413.9190195637,86413.9190195637,86413.9190195637,0,-2.0592079042470512,-20.2798740784518,-30.74337634255023
2025-12-17 00:00:00,bitcoin,crypto,87821.88919109134,87821.88919109134,87821.88919109134,87821.88919109134,0,1.6293326208349335,-18.980968061441335,-29.614955581210523
2025-12-18 00:00:00,bitcoin,crypto,86064.94716216,86064.94716216,86064.94716216,86064.94716216,0,-2.0005741679143596,-20.60181388549842,-31.02306059792787
2025-12-19 00:00:00,bitcoin,crypto,85450.3312009302,85450.3312009302,85450.3312009302,85450.3312009302,0,-0.7141304113877589,-21.168820478632327,-31.51564589904257
2025-12-20 00:00:00,bitcoin,crypto,88103.86075721023,88103.86075721023,88103.86075721023,88103.86075721023,0,3.105347304085293,-18.72083857058691,-29.388968855248272
2025-12-21 00:00:00,bitcoin,crypto,88347.94310567998,88347.94310567998,88347.94310567998,88347.94310567998,0,0.2770393333186183,-18.495663323635892,-29.193348525315443
2025-12-22 00:00:00,bitcoin,crypto,88577.42038358838,88577.42038358838,88577.42038358838,88577.42038358838,0,0.259742637849425,-18.28396180959103,-29.00943346100225
2025-12-23 00:00:00,bitcoin,crypto,88491.12020788102,88491.12020788102,88491.12020788102,88491.12020788102,0,-0.0974290912217124,-18.36357700298233,-29.078598924834342
2025-12-24 00:00:00,bitcoin,crypto,87406.43636737975,87406.43636737975,87406.43636737975,87406.43636737975,0,-1.2257544462689118,-19.36423908764317,-29.947921151869387
2025-12-25 00:00:00,bitcoin,crypto,87642.60888119951,87642.60888119951,87642.60888119951,87642.60888119951,0,0.27020036925782254,-19.146360963904126,-29.75864017614896
2025-12-26 00:00:00,bitcoin,crypto,87229.78066010943,87229.78066010943,87229.78066010943,87229.78066010943,0,-0.4710359793712593,-19.5272106943951,-30.08950225331893
2025-12-27 00:00:00,bitcoin,crypto,87305.95655961394,87305.95655961394,87305.95655961394,87305.95655961394,0,0.0873278585914683,-19.456935530745692,-30.028450912706113
2025-12-28 00:00:00,bitcoin,crypto,87807.003210775,87807.003210775,87807.003210775,87807.003210775,0,0.5738974417157205,-18.994700944277202,-29.626885982565277
2025-12-29 00:00:00,bitcoin,crypto,87822.90829076794,87822.90829076794,87822.90829076794,87822.90829076794,0,0.01811368047119899,-18.980027903241506,-29.614138821554526
2025-12-30 00:00:00,bitcoin,crypto,87156.56266080117,87156.56266080117,87156.56266080117,87156.56266080117,0,-0.758737831546874,-19.594757082648336,-30.148182978375456
2025-12-31 00:00:00,bitcoin,crypto,88414.62856073362,88414.62856073362,88414.62856073362,88414.62856073362,0,1.443455158768292,-18.43414345583765,-29.139903322083427
2026-01-01 00:00:00,bitcoin,crypto,87520.18048742875,87520.18048742875,87520.18048742875,87520.18048742875,0,-1.0116516778560625,-19.259305812124335,-29.856760679056
2026-01-02 00:00:00,bitcoin,crypto,88727.67004249741,88727.67004249741,88727.67004249741,88727.67004249741,0,1.3796698639602312,-18.14535078646192,-28.889015544539433
2026-01-03 00:00:00,bitcoin,crypto,89926.27924953419,89926.27924953419,89926.27924953419,89926.27924953419,0,1.35088547514286,-17.039588219507102,-27.928387584299518
2026-01-04 00:00:00,bitcoin,crypto,90593.85443180417,90593.85443180417,90593.85443180417,90593.85443180417,0,0.7423582826300956,-16.423724731350582,-27.39335800010651
2026-01-05 00:00:00,bitcoin,crypto,91373.21588108438,91373.21588108438,91373.21588108438,91373.21588108438,0,0.8602807046551808,-15.70473416154489,-26.76873706868336
